Manufacturer,Product Name,Category,Type,Thickness,Width,Attachment Methods,Notes,Item #,Application,System
Carlisle,"2.8"" InsulBase Polyiso Insulation",Insulation,Polyisocyanurate,"2.8""",4x8,Mechanically Fastened,Various thicknesses available,,,
Carlisle,"3.0"" InsulBase Polyiso Insulation",Insulation,Polyisocyanurate,"3.0""",4x8,Mechanically Fastened,Various thicknesses available,,,
Carlisle,"3.5"" InsulBase Polyiso Insulation",Insulation,Polyisocyanurate,"3.5""",4x8,Mechanically Fastened,Various thicknesses available,,,
Carlisle,60-mil Sure-Weld TPO Membrane,Membrane,TPO,60-mil,8',Mechanically Fastened | Fully Adhered,"White, Tan, Gray available",,,
Carlisle,80-mil Sure-Weld TPO Membrane,Membrane,TPO,80-mil,8',Mechanically Fastened | Fully Adhered,"White, Tan, Gray available",,,
Carlisle,FleeceBACK EPDM,Membrane,EPDM,Varies,Varies,Fully Adhered | Mechanically Fastened | Induction Weld,Externally reinforced for high wind uplift,,,
Carlisle,HP-X Fasteners,Fasteners,Steel Fastener,,,For mechanically attached systems,,,,
Carlisle,InsulFast Fasteners,Fasteners,Steel Fastener,,,,For insulation attachment,,,
Carlisle,Piranha Plates,Plates,Steel Plate,,"3""",,Insulation plates,,,
Carlisle,Polyisocyanurate (Polyiso),Insulation,Polyisocyanurate,Varies,4' x 8',Mechanically Fastened | Adhered,"SecurShield, InsulBase, Tapered",,,
Carlisle,SecurShield HD Polyiso Coverboard,Coverboard,HD Polyiso,"0.5""",4x8,Mechanically Fastened,High density,,,
Carlisle,SecurShield Polyiso Coverboard,Coverboard,Polyiso,"0.25""",4x8,Mechanically Fastened,Standard density,,,
Carlisle,Sure-Flex KEE HP PVC,Membrane,PVC,Varies,Varies,Mechanically Fastened | Fully Adhered,Elvaloy enhanced for chemical/grease resistance,,,
Carlisle,Sure-Flex PVC,Membrane,PVC,Varies,Varies,Mechanically Fastened | Fully Adhered,Flagship polyester-reinforced PVC,,,
Carlisle,Sure-Seal EPDM,Membrane,EPDM,60-mil,10',Fully Adhered,Black,,,
Carlisle,Sure-Seal EPDM (Black),Membrane,EPDM,Varies,Varies,Fully Adhered | Mechanically Fastened | Ballasted,"Non-reinforced, long-term UV resistance",,,
Carlisle,Sure-Weld Bonding Adhesive,Adhesive,Contact Adhesive,,,,Low-VOC,,,
Carlisle,Sure-Weld FleeceBACK TPO,Membrane,TPO,115-mil,10',Fully Adhered,Fleece-backed,,,
Carlisle,Sure-Weld SAT TPO,Membrane,TPO,Varies,Varies,Self-Adhering,Self-adhering membrane,,,
Carlisle,Sure-Weld TPO,Membrane,TPO,Varies,Varies,Mechanically Fastened | Fully Adhered,Features OctaGuard XT weathering package,,,
Carlisle,Sure-Weld TPO with APEEL Protective Film,Membrane,TPO,Varies,Varies,Mechanically Fastened | Fully Adhered,Film protects during installation,,,
Carlisle,Sure-White EPDM,Membrane,EPDM,Varies,Varies,Fully Adhered | Mechanically Fastened | Ballasted,Highly reflective white version,,,
CertainTeed,Flintglas Base Sheet,Membrane,BUR Base,,,Hot Asphalt,,FG-BASE,,
CertainTeed,Flintglas Ply 4,Membrane,BUR Felt,,,Hot Asphalt,,FG-PLY4,,
CertainTeed,Flintlastic GMS Base,Membrane,APP Base,,,Torch,,GMS-BASE,,
CertainTeed,Flintlastic GTA Cap,Membrane,APP Cap,,,Torch,,GTA-CAP,,
CertainTeed,Flintlastic SA Cap (Cool Roof),Membrane,SBS Cap,,,Self-Adhered,,SA-CAP-CR,,
CertainTeed,Flintlastic SA Mid-Ply,Membrane,SBS Midply,,,Self-Adhered,,SA-MID,,
CertainTeed,Flintlastic SA PlyBase,Membrane,SBS Base,,,Self-Adhered,,SA-BASE,,
CertainTeed,Flintprime,Accessory,Primer,,,Applied,,FLINT-PRIME,,
CertainTeed,Flintseal,Accessory,Sealant,,,Applied,,FLINT-SEAL,,
Elevate,APP (Atactic Polypropylene),Membrane,Modified APP,Varies,"39""",Torch | Hot-Mopped | Cold-Adhered,Polymer modified bitumen,,,
Elevate,Built-Up Roofing (BUR),Membrane,BUR Felt,N/A,3',Hot-Mopped Asphalt,Traditional asphaltic system,,,
Elevate,EPDM QuickPrime Plus,Accessory,Primer,,,,,W59QP00000,,
Elevate,EPDM Splice Adhesive,Adhesive,EPDM Adhesive,,,,,W59SA00000,,
Elevate,Fast-N-R TPO Seam Plate,Plates,TPO Plate,,,,,W56TPOFAST,,
Elevate,ISOGARD GL Insulation,Insulation,Polyisocyanurate,Varies,4' x 8',Mechanically Fastened | Adhered,Closed-cell polyiso,W56ISOGL,,
Elevate,ISOGARD GL Polyiso,Insulation,Polyisocyanurate,Varies,4' x 8',Mechanically Fastened | Adhered,Closed-cell polyiso,,,
Elevate,ISOGARD HD Cover Board,Coverboard,HD Polyiso,,,,,W56ISOHD,,
Elevate,Low Slope Metals (UNA-CLAD),Metal,Architectural Metal,Varies,Varies,Concealed Clips | Fasteners,Metal panel systems,,,
Elevate,PVC Roofing Systems,Membrane,PVC,Varies,Varies,Mechanically Fastened | Fully Adhered,Fire/chemical/grease resistant,,,
Elevate,RubberGard EPDM,Membrane,EPDM,Varies,Varies,Fully Adhered | Mechanically Fastened | Ballasted,"Premium-grade, proven performance",,,
Elevate,RubberGard EPDM Membrane (45 mil),Membrane,EPDM,45-mil,,,,W56EXT45100,,
Elevate,RubberGard EPDM Membrane (60 mil),Membrane,EPDM,60-mil,,,,W56EXT60100,,
Elevate,RubberGard EPDM SA,Membrane,EPDM,Varies,Varies,Self-Adhering,Self-adhering EPDM,,,
Elevate,SBS (Styrene Butadiene Styrene),Membrane,Modified SBS,Varies,"39""",Torch | Hot-Mopped | Cold-Adhered,Enhanced polymer technology,,,
Elevate,UltraPly PVC KEE Membrane (60 mil),Membrane,PVC,60-mil,,,,W56PVC60100KEE,,
Elevate,UltraPly PVC Membrane (50 mil),Membrane,PVC,50-mil,,,,W56PVC50100,,
Elevate,UltraPly TPO,Membrane,TPO,Varies,Varies,Mechanically Fastened | Fully Adhered,Sustainable and reflective,,,
Elevate,UltraPly TPO Bonding Adhesive,Adhesive,TPO Adhesive,,,,,W59TB00000,,
Elevate,UltraPly TPO Cleaner/Primer,Accessory,Cleaner/Primer,,,,,W59TC00000,,
Elevate,UltraPly TPO Membrane (60 mil),Membrane,TPO,60-mil,,,,4560100,,
Elevate,UltraPly TPO Membrane (80 mil),Membrane,TPO,80-mil,,,,4580100,,
Elevate,UltraPly TPO XR Membrane (60 mil),Membrane,TPO,60-mil,,,,4560100XR,,
Firestone,ISO 95+ Polyiso Insulation,Insulation,Polyisocyanurate,"2.0""",4x8,Mechanically Fastened,Various thicknesses,,,
Firestone,RubberGard EPDM,Membrane,EPDM,60-mil,10',Fully Adhered | Ballasted,Black,,,
Firestone,SecurShield Coverboard,Coverboard,Gypsum,"0.5""",4x4,Mechanically Fastened,Gypsum fiber,,,
